id,class
2454,IE
2455,N
2456,N
2457,N
2458,N
2459,IE
2460,N
2461,IE
2462,EI
2463,IE
2464,N
2465,IE
2466,N
2467,N
2468,IE
2469,IE
2470,IE
2471,IE
2472,EI
2473,IE
2474,IE
2475,EI
2476,N
2477,IE
2478,N
2479,N
2480,N
2481,N
2482,EI
2483,EI
2484,N
2485,IE
2486,IE
2487,IE
2488,IE
2489,IE
2490,N
2491,IE
2492,N
2493,EI
2494,IE
2495,N
2496,IE
2497,IE
2498,N
2499,N
2500,IE
2501,N
2502,N
2503,N
2504,N
2505,IE
2506,IE
2507,IE
2508,N
2509,IE
2510,N
2511,N
2512,IE
2513,IE
2514,N
2515,N
2516,N
2517,IE
2518,IE
2519,IE
2520,IE
2521,IE
2522,N
2523,N
2524,N
2525,N
2526,N
2527,N
2528,N
2529,IE
2530,IE
2531,IE
2532,N
2533,IE
2534,IE
2535,N
2536,IE
2537,IE
2538,N
2539,N
2540,IE
2541,N
2542,IE
2543,N
2544,N
2545,IE
2546,EI
2547,IE
2548,IE
2549,IE
2550,EI
2551,N
2552,N
2553,IE
2554,IE
2555,N
2556,N
2557,N
2558,IE
2559,N
2560,EI
2561,N
2562,N
2563,EI
2564,N
2565,IE
2566,N
2567,N
2568,IE
2569,N
2570,N
2571,N
2572,N
2573,N
2574,EI
2575,N
2576,IE
2577,IE
2578,IE
2579,EI
2580,N
2581,N
2582,EI
2583,EI
2584,IE
2585,N
2586,IE
2587,N
2588,N
2589,IE
2590,N
2591,IE
2592,IE
2593,EI
2594,N
2595,IE
2596,EI
2597,IE
2598,EI
2599,IE
2600,N
2601,IE
2602,IE
2603,IE
2604,IE
2605,IE
2606,IE
2607,N
2608,IE
2609,N
2610,N
2611,IE
2612,EI
2613,N
2614,N
2615,N
2616,N
2617,N
2618,EI
2619,N
2620,EI
2621,N
2622,IE
2623,N
2624,N
2625,N
2626,N
2627,N
2628,N
2629,N
2630,N
2631,N
2632,EI
2633,IE
2634,IE
2635,N
2636,IE
2637,IE
2638,EI
2639,N
2640,N
2641,IE
2642,N
2643,N
2644,EI
2645,IE
2646,EI
2647,N
2648,EI
2649,IE
2650,IE
2651,IE
2652,IE
2653,N
2654,IE
2655,IE
2656,IE
2657,IE
2658,IE
2659,IE
2660,IE
2661,IE
2662,IE
2663,IE
2664,IE
2665,IE
2666,N
2667,N
2668,IE
2669,IE
2670,IE
2671,IE
2672,IE
2673,N
2674,IE
2675,IE
2676,IE
2677,IE
2678,IE
2679,IE
2680,IE
2681,EI
2682,IE
2683,EI
2684,IE
2685,IE
2686,IE
2687,EI
2688,N
2689,IE
2690,IE
2691,IE
2692,N
2693,IE
2694,IE
2695,N
2696,IE
2697,N
2698,EI
2699,N
2700,N
2701,N
2702,N
2703,N
2704,IE
2705,IE
2706,EI
2707,IE
2708,N
2709,EI
2710,IE
2711,N
2712,EI
2713,IE
2714,N
2715,EI
2716,IE
2717,N
2718,N
2719,IE
2720,IE
2721,IE
2722,IE
2723,N
2724,IE
2725,N
2726,IE
2727,IE
2728,N
2729,IE
2730,EI
2731,N
2732,IE
2733,IE
2734,IE
2735,IE
2736,IE
2737,EI
2738,N
2739,EI
2740,IE
2741,EI
2742,N
2743,IE
2744,EI
2745,N
2746,N
2747,N
2748,EI
2749,IE
2750,EI
2751,EI
2752,EI
2753,IE
2754,IE
2755,N
2756,IE
2757,IE
2758,IE
2759,IE
2760,N
2761,N
2762,EI
2763,N
2764,EI
2765,EI
2766,IE
2767,IE
2768,IE
2769,IE
2770,IE
2771,IE
2772,N
2773,EI
2774,IE
2775,N
2776,IE
2777,IE
2778,EI
2779,IE
2780,N
2781,N
2782,EI
2783,N
2784,IE
2785,N
2786,IE
2787,EI
2788,N
2789,N
2790,EI
2791,EI
2792,N
2793,EI
2794,N
2795,IE
2796,IE
2797,EI
2798,N
2799,IE
2800,N
2801,N
2802,N
2803,N
2804,IE
2805,IE
2806,IE
2807,IE
2808,IE
2809,IE
2810,IE
2811,IE
2812,N
2813,IE
2814,N
2815,EI
2816,N
2817,N
2818,N
2819,IE
2820,IE
2821,IE
2822,N
2823,N
2824,N
2825,EI
2826,N
2827,N
2828,N
2829,N
2830,N
2831,N
2832,IE
2833,IE
2834,IE
2835,N
2836,EI
2837,N
2838,N
2839,IE
2840,N
2841,IE
2842,N
2843,N
2844,IE
2845,IE
2846,N
2847,IE
2848,EI
2849,IE
2850,IE
2851,EI
2852,EI
2853,IE
2854,IE
2855,IE
2856,N
2857,IE
2858,N
2859,IE
2860,IE
2861,N
2862,N
2863,IE
2864,N
2865,IE
2866,IE
2867,N
2868,N
2869,N
2870,IE
2871,IE
2872,IE
2873,IE
2874,N
2875,IE
2876,EI
2877,N
2878,N
2879,EI
2880,N
2881,N
2882,IE
2883,IE
2884,N
2885,IE
2886,IE
2887,IE
2888,N
2889,IE
2890,N
2891,IE
2892,N
2893,IE
2894,IE
2895,N
2896,IE
2897,N
2898,IE
2899,N
2900,IE
2901,N
2902,IE
2903,IE
2904,N
2905,IE
2906,IE
2907,IE
2908,IE
2909,IE
2910,IE
2911,IE
2912,N
2913,EI
2914,IE
2915,N
2916,IE
2917,IE
2918,IE
2919,N
2920,EI
2921,EI
2922,EI
2923,EI
2924,EI
2925,N
2926,N
2927,IE
2928,N
2929,N
2930,N
2931,N
2932,N
2933,N
2934,N
2935,IE
2936,IE
2937,N
2938,N
2939,IE
2940,IE
2941,EI
2942,EI
2943,IE
2944,IE
2945,EI
2946,N
2947,N
2948,N
2949,IE
2950,IE
2951,EI
2952,N
2953,IE
2954,N
2955,N
2956,IE
2957,N
2958,IE
2959,IE
2960,N
2961,N
2962,N
2963,IE
2964,N
2965,N
2966,N
2967,N
2968,EI
2969,IE
2970,IE
2971,IE
2972,N
2973,N
2974,IE
2975,N
2976,N
2977,N
2978,N
2979,N
2980,EI
2981,N
2982,EI
2983,IE
2984,N
2985,N
2986,IE
2987,IE
2988,N
2989,IE
2990,EI
2991,N
2992,N
2993,EI
2994,EI
2995,EI
2996,EI
2997,N
2998,N
2999,N
3000,IE
3001,N
3002,EI
3003,EI
3004,IE
3005,N
3006,IE
3007,IE
3008,IE
3009,N
3010,IE
3011,N
3012,IE
3013,N
3014,IE
3015,IE
3016,N
3017,N
3018,EI
3019,EI
3020,IE
3021,N
3022,N
3023,N
3024,N
3025,EI
3026,N
3027,EI
3028,IE
3029,N
3030,IE
3031,EI
3032,EI
3033,IE
3034,N
3035,IE
3036,IE
3037,IE
3038,N
3039,N
3040,N
3041,IE
3042,IE
3043,N
3044,N
3045,EI
3046,IE
3047,IE
3048,N
3049,EI
3050,N
3051,EI
3052,IE
3053,EI
3054,IE
3055,N
3056,N
3057,N
3058,N
3059,IE
3060,N
3061,IE
3062,N
3063,IE
3064,N
3065,EI
3066,N
3067,IE
3068,N
3069,N
3070,N
3071,N
3072,IE
3073,N
3074,N
3075,IE
3076,N
3077,EI
3078,IE
3079,IE
3080,IE
3081,EI
3082,N
3083,N
3084,N
3085,IE
3086,IE
3087,N
3088,EI
3089,N
3090,IE
3091,N
3092,N
3093,N
3094,IE
3095,N
3096,IE
3097,EI
3098,IE
3099,N
3100,N
3101,N
3102,IE
3103,N
3104,IE
3105,IE
3106,N
3107,N
3108,IE
3109,IE
3110,EI
3111,N
3112,EI
3113,IE
3114,IE
3115,EI
3116,N
3117,N
3118,N
3119,IE
3120,IE
3121,EI
3122,EI
3123,IE
3124,EI
3125,N
3126,IE
3127,IE
3128,N
3129,IE
3130,N
3131,EI
3132,N
3133,N
3134,N
3135,N
3136,N
3137,IE
3138,N
3139,N
3140,EI
3141,N
3142,N
3143,IE
3144,N
3145,N
3146,N
3147,IE
3148,IE
3149,IE
3150,EI
3151,N
3152,IE
3153,IE
3154,N
3155,IE
3156,IE
3157,EI
3158,EI
3159,EI
3160,EI
3161,IE
3162,N
3163,IE
3164,EI
3165,EI
3166,EI
3167,IE
3168,EI
3169,N
3170,IE
3171,N
3172,IE
3173,N
3174,IE
3175,IE
3176,IE
3177,IE
3178,N
3179,IE
3180,N
3181,N
3182,EI
3183,IE
3184,EI
3185,N
3186,N
3187,N
3188,N
3189,N
3190,IE
